num_venda;data_venda;data_entrega;uf;regiao;gestor;vendedor;departamento;forma_pagamento;valor_venda;status
4970;18/08/2010;01/09/2010;AM;Norte;Elenice Mendes;Daniel Leite;Eletrônicos;Cartão de Crédito;3242.84;Concluída
4971;18/08/2010;27/08/2010;AM;Norte;Elenice Mendes;Daniel Leite;Roupas e Acessórios;Cartão de Crédito;350.29;Concluída
4974;18/08/2010;21/08/2010;PR;Sul;Roberta Camargo;Érica Macedo;Esporte e Lazer;Transferência Eletrônica;266.81;Concluída
4975;20/08/2010;26/08/2010;MG;Sudeste;Luiz Miranda;Rosângela Almeida;Casa e Construção;Cartão de Débito;2440.65;Concluída
4976;20/08/2010;02/09/2010;GO;Centro-Oeste;Amauri Castro;Ana Cristina Lopes;Eletrônicos;Transferência Eletrônica;6705.58;Concluída
4977;20/08/2010;23/08/2010;PI;Nordeste;Raimundo Moraes;Gerson Melo;Utilidades Domésticas;Cartão de Crédito;1022.94;Concluída
4978;20/08/2010;30/08/2010;PA;Norte;Elenice Mendes;Luíza Campos;Utilidades Domésticas;Cartão de Crédito;1499.51;Concluída
4979;21/08/2010;31/08/2010;AL;Nordeste;Raimundo Moraes;Marcos Reis;Eletrodomésticos;Boleto Bancário;3151.08;Concluída
4980;21/08/2010;23/08/2010;ES;Sudeste;Luiz Miranda;Marisa Lemos;Eletrônicos;Cartão de Crédito;8769.85;Cancelada
4981;21/08/2010;03/09/2010;RN;Nordeste;Raimundo Moraes;Ricardo Martins;Esporte e Lazer;Transferência Eletrônica;1528.40;Concluída
4983;21/08/2010;05/09/2010;MA;Nordeste;Raimundo Moraes;Luciano Camargo;Roupas e Acessórios;Cartão de Crédito;105.63;Cancelada
4984;22/08/2010;02/09/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Móveis e Decoração;Cartão de Crédito;941.57;Concluída
4985;22/08/2010;28/08/2010;AM;Norte;Elenice Mendes;Daniel Leite;Eletrodomésticos;Cartão de Débito;1859.75;Concluída
4986;22/08/2010;26/08/2010;BA;Nordeste;Raimundo Moraes;Newton Souza;Roupas e Acessórios;Cartão de Crédito;250.04;Concluída
4987;23/08/2010;25/08/2010;BA;Nordeste;Raimundo Moraes;Newton Souza;Esporte e Lazer;Cartão de Crédito;1919.45;Concluída
4988;24/08/2010;26/08/2010;AP;Norte;Elenice Mendes;Maria Cristina Moraes;Casa e Construção;Boleto Bancário;6803.85;Concluída
4989;25/08/2010;30/08/2010;ES;Sudeste;Luiz Miranda;Marisa Lemos;Eletrodomésticos;Cartão de Débito;3078.81;Concluída
4990;25/08/2010;09/09/2010;PR;Sul;Roberta Camargo;Érica Macedo;Eletrônicos;Cartão de Crédito;2140.22;Concluída
4991;25/08/2010;04/09/2010;PA;Norte;Elenice Mendes;Luíza Campos;Móveis e Decoração;Transferência Eletrônica;4354.73;Concluída
4992;25/08/2010;03/09/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Eletrodomésticos;Boleto Bancário;756.94;Concluída
4993;26/08/2010;01/09/2010;MT;Centro-Oeste;Amauri Castro;Isabel Dias;Roupas e Acessórios;Cartão de Débito;152.93;Concluída
4996;26/08/2010;30/08/2010;AP;Norte;Elenice Mendes;Maria Cristina Moraes;Eletrônicos;Cartão de Débito;1039.08;Concluída
4997;26/08/2010;09/09/2010;CE;Nordeste;Raimundo Moraes;Alice da Silva;Eletrodomésticos;Transferência Eletrônica;1552.68;Concluída
5000;26/08/2010;10/09/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Casa e Construção;Cartão de Débito;584.26;Cancelada
5002;26/08/2010;31/08/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Eletrônicos;Boleto Bancário;3690.71;Concluída
5004;27/08/2010;05/09/2010;AC;Norte;Elenice Mendes;Célio Carvalho;Casa e Construção;Cartão de Crédito;2062.91;Concluída
5005;27/08/2010;29/08/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Móveis e Decoração;Cartão de Débito;1769.90;Concluída
5006;27/08/2010;29/08/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Eletrônicos;Transferência Eletrônica;9884.11;Concluída
5007;28/08/2010;11/09/2010;SC;Sul;Roberta Camargo;João Lima;Eletrônicos;Cartão de Débito;6273.05;Concluída
5008;28/08/2010;01/09/2010;AC;Norte;Elenice Mendes;Célio Carvalho;Eletrônicos;Cartão de Débito;2733.23;Concluída
5009;28/08/2010;04/09/2010;SC;Sul;Roberta Camargo;João Lima;Eletrônicos;Boleto Bancário;1448.16;Concluída
5010;28/08/2010;09/09/2010;BA;Nordeste;Raimundo Moraes;Newton Souza;Eletrônicos;Cartão de Crédito;7225.16;Concluída
5011;28/08/2010;04/09/2010;PR;Sul;Roberta Camargo;Érica Macedo;Eletrodomésticos;Cartão de Débito;2384.48;Concluída
5012;29/08/2010;07/09/2010;RR;Norte;Elenice Mendes;Ana Lúcia Ramos;Eletrodomésticos;Cartão de Débito;2685.44;Cancelada
5013;29/08/2010;04/09/2010;PA;Norte;Elenice Mendes;Luíza Campos;Eletrônicos;Cartão de Débito;6537.04;Concluída
5015;29/08/2010;03/09/2010;RO;Norte;Elenice Mendes;Dorival da Silva;Roupas e Acessórios;Cartão de Crédito;174.55;Concluída
5017;30/08/2010;06/09/2010;BA;Nordeste;Raimundo Moraes;Newton Souza;Esporte e Lazer;Transferência Eletrônica;2184.40;Concluída
5018;30/08/2010;12/09/2010;MS;Centro-Oeste;Amauri Castro;Marco Aurélio Castro;Eletrônicos;Cartão de Débito;9602.45;Concluída
5021;30/08/2010;01/09/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Eletrodomésticos;Cartão de Débito;825.34;Cancelada
5024;31/08/2010;10/09/2010;ES;Sudeste;Luiz Miranda;Marisa Lemos;Móveis e Decoração;Cartão de Crédito;2800.98;Concluída
5025;31/08/2010;09/09/2010;MS;Centro-Oeste;Amauri Castro;Marco Aurélio Castro;Eletrônicos;Boleto Bancário;7105.50;Concluída
5026;02/09/2010;09/09/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Eletrônicos;Cartão de Crédito;6382.10;Concluída
5027;02/09/2010;14/09/2010;AM;Norte;Elenice Mendes;Daniel Leite;Roupas e Acessórios;Cartão de Débito;90.82;Concluída
5028;02/09/2010;10/09/2010;ES;Sudeste;Luiz Miranda;Marisa Lemos;Eletrônicos;Boleto Bancário;4719.19;Concluída
5031;03/09/2010;15/09/2010;DF;Centro-Oeste;Amauri Castro;Maria José Dias;Utilidades Domésticas;Cartão de Débito;188.99;Concluída
5034;04/09/2010;11/09/2010;AL;Nordeste;Raimundo Moraes;Marcos Reis;Casa e Construção;Cartão de Crédito;449.86;Concluída
5035;04/09/2010;07/09/2010;PA;Norte;Elenice Mendes;Luíza Campos;Utilidades Domésticas;Cartão de Débito;198.71;Concluída
5036;04/09/2010;09/09/2010;PE;Nordeste;Raimundo Moraes;Augusto Melo;Eletrônicos;Cartão de Crédito;7723.65;Concluída
5037;05/09/2010;10/09/2010;MS;Centro-Oeste;Amauri Castro;Marco Aurélio Castro;Esporte e Lazer;Cartão de Crédito;708.92;Concluída
5038;05/09/2010;07/09/2010;BA;Nordeste;Raimundo Moraes;Newton Souza;Roupas e Acessórios;Boleto Bancário;78.41;Concluída
5041;05/09/2010;12/09/2010;DF;Centro-Oeste;Amauri Castro;Maria José Dias;Eletrônicos;Cartão de Crédito;5807.05;Concluída
5042;05/09/2010;12/09/2010;BA;Nordeste;Raimundo Moraes;Newton Souza;Eletrônicos;Transferência Eletrônica;820.02;Concluída
5044;05/09/2010;14/09/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Casa e Construção;Cartão de Débito;1944.85;Concluída
5045;05/09/2010;07/09/2010;MG;Sudeste;Luiz Miranda;Rosângela Almeida;Eletrodomésticos;Boleto Bancário;2675.18;Concluída
5046;07/09/2010;16/09/2010;AM;Norte;Elenice Mendes;Daniel Leite;Utilidades Domésticas;Cartão de Crédito;1393.82;Concluída
5048;07/09/2010;10/09/2010;AP;Norte;Elenice Mendes;Maria Cristina Moraes;Utilidades Domésticas;Cartão de Crédito;1454.95;Concluída
5049;08/09/2010;15/09/2010;SC;Sul;Roberta Camargo;João Lima;Casa e Construção;Cartão de Crédito;2096.77;Concluída
5050;08/09/2010;16/09/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Casa e Construção;Cartão de Débito;4829.23;Cancelada
5051;08/09/2010;14/09/2010;SC;Sul;Roberta Camargo;João Lima;Eletrodomésticos;Cartão de Débito;636.15;Concluída
5053;08/09/2010;16/09/2010;MG;Sudeste;Luiz Miranda;Rosângela Almeida;Eletrodomésticos;Cartão de Débito;1482.22;Concluída
5055;09/09/2010;19/09/2010;RS;Sul;Roberta Camargo;Lúcia Bueno;Eletrônicos;Cartão de Crédito;4380.12;Concluída
5056;09/09/2010;12/09/2010;PB;Nordeste;Raimundo Moraes;Haroldo Cardoso;Eletrônicos;Transferência Eletrônica;7095.96;Concluída
5057;10/09/2010;12/09/2010;SC;Sul;Roberta Camargo;João Lima;Eletrônicos;Cartão de Crédito;3739.87;Concluída
5058;10/09/2010;22/09/2010;AL;Nordeste;Raimundo Moraes;Marcos Reis;Casa e Construção;Cartão de Crédito;1619.12;Concluída
5059;10/09/2010;17/09/2010;GO;Centro-Oeste;Amauri Castro;Ana Cristina Lopes;Eletrodomésticos;Boleto Bancário;350.73;Cancelada
5060;11/09/2010;15/09/2010;PR;Sul;Roberta Camargo;Érica Macedo;Móveis e Decoração;Cartão de Débito;4623.79;Concluída
5061;11/09/2010;20/09/2010;CE;Nordeste;Raimundo Moraes;Alice da Silva;Eletrodomésticos;Transferência Eletrônica;1815.67;Cancelada
5062;12/09/2010;17/09/2010;DF;Centro-Oeste;Amauri Castro;Maria José Dias;Eletrodomésticos;Boleto Bancário;2219.71;Concluída
5063;12/09/2010;24/09/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Casa e Construção;Cartão de Débito;1390.60;Concluída
5064;12/09/2010;22/09/2010;MG;Sudeste;Luiz Miranda;Rosângela Almeida;Móveis e Decoração;Cartão de Crédito;2116.04;Concluída
5065;13/09/2010;16/09/2010;RN;Nordeste;Raimundo Moraes;Ricardo Martins;Casa e Construção;Cartão de Crédito;4661.53;Concluída
5066;14/09/2010;21/09/2010;SC;Sul;Roberta Camargo;João Lima;Eletrônicos;Cartão de Crédito;2970.87;Concluída
5069;15/09/2010;25/09/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Eletrônicos;Cartão de Crédito;4592.49;Concluída
5070;15/09/2010;24/09/2010;RS;Sul;Roberta Camargo;Lúcia Bueno;Móveis e Decoração;Cartão de Débito;1862.90;Concluída
5071;15/09/2010;25/09/2010;TO;Norte;Elenice Mendes;Armando Cabral;Casa e Construção;Cartão de Crédito;2708.90;Concluída
5072;16/09/2010;30/09/2010;RO;Norte;Elenice Mendes;Dorival da Silva;Roupas e Acessórios;Boleto Bancário;313.64;Concluída
5073;16/09/2010;01/10/2010;PR;Sul;Roberta Camargo;Érica Macedo;Casa e Construção;Cartão de Débito;3248.17;Concluída
5074;17/09/2010;25/09/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Eletrônicos;Boleto Bancário;10596.18;Concluída
5076;18/09/2010;21/09/2010;PB;Nordeste;Raimundo Moraes;Haroldo Cardoso;Casa e Construção;Cartão de Crédito;1832.07;Concluída
5077;18/09/2010;21/09/2010;ES;Sudeste;Luiz Miranda;Marisa Lemos;Utilidades Domésticas;Boleto Bancário;811.91;Concluída
5078;18/09/2010;25/09/2010;MA;Nordeste;Raimundo Moraes;Luciano Camargo;Eletrônicos;Cartão de Crédito;2089.06;Concluída
5079;18/09/2010;24/09/2010;PA;Norte;Elenice Mendes;Luíza Campos;Utilidades Domésticas;Cartão de Crédito;769.47;Concluída
5080;18/09/2010;28/09/2010;MA;Nordeste;Raimundo Moraes;Luciano Camargo;Eletrodomésticos;Transferência Eletrônica;484.52;Concluída
5081;18/09/2010;26/09/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Roupas e Acessórios;Cartão de Débito;284.91;Concluída
5082;19/09/2010;27/09/2010;ES;Sudeste;Luiz Miranda;Marisa Lemos;Roupas e Acessórios;Cartão de Crédito;184.37;Concluída
5083;19/09/2010;21/09/2010;AM;Norte;Elenice Mendes;Daniel Leite;Casa e Construção;Cartão de Débito;7652.48;Concluída
5084;19/09/2010;27/09/2010;TO;Norte;Elenice Mendes;Armando Cabral;Casa e Construção;Cartão de Crédito;5861.26;Concluída
5085;19/09/2010;23/09/2010;SC;Sul;Roberta Camargo;João Lima;Casa e Construção;Cartão de Débito;8006.59;Concluída
5086;19/09/2010;29/09/2010;PR;Sul;Roberta Camargo;Érica Macedo;Casa e Construção;Cartão de Débito;933.92;Concluída
5087;20/09/2010;25/09/2010;BA;Nordeste;Raimundo Moraes;Newton Souza;Móveis e Decoração;Cartão de Crédito;4329.43;Concluída
5088;20/09/2010;23/09/2010;PA;Norte;Elenice Mendes;Luíza Campos;Eletrodomésticos;Cartão de Débito;2575.04;Concluída
5089;20/09/2010;25/09/2010;PE;Nordeste;Raimundo Moraes;Augusto Melo;Roupas e Acessórios;Transferência Eletrônica;155.65;Concluída
5090;20/09/2010;30/09/2010;PA;Norte;Elenice Mendes;Luíza Campos;Eletrônicos;Cartão de Débito;1529.25;Concluída
5093;21/09/2010;24/09/2010;BA;Nordeste;Raimundo Moraes;Newton Souza;Utilidades Domésticas;Cartão de Crédito;1540.75;Concluída
5095;21/09/2010;29/09/2010;RS;Sul;Roberta Camargo;Lúcia Bueno;Eletrodomésticos;Cartão de Crédito;2463.15;Concluída
5096;21/09/2010;01/10/2010;AP;Norte;Elenice Mendes;Maria Cristina Moraes;Móveis e Decoração;Cartão de Crédito;1822.28;Concluída
5097;21/09/2010;23/09/2010;ES;Sudeste;Luiz Miranda;Marisa Lemos;Esporte e Lazer;Cartão de Crédito;1290.75;Concluída
5098;21/09/2010;25/09/2010;TO;Norte;Elenice Mendes;Armando Cabral;Casa e Construção;Cartão de Crédito;1635.76;Concluída
5099;22/09/2010;25/09/2010;RR;Norte;Elenice Mendes;Ana Lúcia Ramos;Eletrodomésticos;Cartão de Crédito;2921.98;Concluída
5100;22/09/2010;07/10/2010;PB;Nordeste;Raimundo Moraes;Haroldo Cardoso;Eletrodomésticos;Cartão de Débito;374.05;Concluída
5101;22/09/2010;02/10/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Casa e Construção;Cartão de Crédito;6951.46;Concluída
5102;22/09/2010;03/10/2010;AM;Norte;Elenice Mendes;Daniel Leite;Esporte e Lazer;Cartão de Crédito;1561.87;Concluída
5103;23/09/2010;01/10/2010;AM;Norte;Elenice Mendes;Daniel Leite;Utilidades Domésticas;Cartão de Débito;1612.61;Concluída
5105;24/09/2010;30/09/2010;ES;Sudeste;Luiz Miranda;Marisa Lemos;Eletrônicos;Transferência Eletrônica;941.94;Concluída
5106;24/09/2010;01/10/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Eletrônicos;Cartão de Débito;8146.94;Concluída
5107;25/09/2010;06/10/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Casa e Construção;Cartão de Débito;3178.15;Concluída
5108;25/09/2010;08/10/2010;AL;Nordeste;Raimundo Moraes;Marcos Reis;Casa e Construção;Cartão de Crédito;1816.77;Concluída
5109;26/09/2010;06/10/2010;AP;Norte;Elenice Mendes;Maria Cristina Moraes;Esporte e Lazer;Cartão de Crédito;1458.77;Concluída
5110;26/09/2010;05/10/2010;MA;Nordeste;Raimundo Moraes;Luciano Camargo;Casa e Construção;Cartão de Crédito;123.61;Concluída
5111;26/09/2010;30/09/2010;AC;Norte;Elenice Mendes;Célio Carvalho;Esporte e Lazer;Cartão de Débito;2532.29;Cancelada
5112;26/09/2010;30/09/2010;BA;Nordeste;Raimundo Moraes;Newton Souza;Eletrônicos;Boleto Bancário;10679.28;Concluída
5113;26/09/2010;02/10/2010;RO;Norte;Elenice Mendes;Dorival da Silva;Móveis e Decoração;Cartão de Débito;4146.45;Concluída
5114;27/09/2010;07/10/2010;RS;Sul;Roberta Camargo;Lúcia Bueno;Eletrônicos;Cartão de Débito;5879.27;Concluída
5117;27/09/2010;01/10/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Casa e Construção;Cartão de Débito;7563.29;Concluída
5118;27/09/2010;07/10/2010;MG;Sudeste;Luiz Miranda;Rosângela Almeida;Eletrônicos;Cartão de Débito;821.10;Concluída
5119;28/09/2010;07/10/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Utilidades Domésticas;Cartão de Crédito;261.19;Concluída
5120;28/09/2010;07/10/2010;PI;Nordeste;Raimundo Moraes;Gerson Melo;Roupas e Acessórios;Cartão de Crédito;396.24;Concluída
5121;28/09/2010;07/10/2010;PB;Nordeste;Raimundo Moraes;Haroldo Cardoso;Casa e Construção;Cartão de Crédito;7717.56;Concluída
5122;29/09/2010;06/10/2010;PE;Nordeste;Raimundo Moraes;Augusto Melo;Eletrônicos;Cartão de Crédito;10563.41;Cancelada
5123;29/09/2010;05/10/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Esporte e Lazer;Cartão de Débito;2138.91;Concluída
5124;29/09/2010;05/10/2010;PR;Sul;Roberta Camargo;Érica Macedo;Esporte e Lazer;Cartão de Crédito;2027.53;Concluída
5125;30/09/2010;08/10/2010;RR;Norte;Elenice Mendes;Ana Lúcia Ramos;Móveis e Decoração;Cartão de Crédito;2819.26;Concluída
5126;30/09/2010;07/10/2010;BA;Nordeste;Raimundo Moraes;Newton Souza;Utilidades Domésticas;Transferência Eletrônica;221.57;Concluída
5129;30/09/2010;11/10/2010;ES;Sudeste;Luiz Miranda;Marisa Lemos;Roupas e Acessórios;Cartão de Débito;228.99;Cancelada
5130;01/10/2010;11/10/2010;PA;Norte;Elenice Mendes;Luíza Campos;Eletrodomésticos;Transferência Eletrônica;2813.31;Concluída
5131;01/10/2010;16/10/2010;PI;Nordeste;Raimundo Moraes;Gerson Melo;Roupas e Acessórios;Cartão de Crédito;372.26;Concluída
5132;01/10/2010;16/10/2010;PA;Norte;Elenice Mendes;Luíza Campos;Roupas e Acessórios;Cartão de Crédito;204.58;Concluída
5133;01/10/2010;03/10/2010;CE;Nordeste;Raimundo Moraes;Alice da Silva;Casa e Construção;Boleto Bancário;1649.37;Concluída
5134;02/10/2010;12/10/2010;ES;Sudeste;Luiz Miranda;Marisa Lemos;Eletrônicos;Boleto Bancário;7821.51;Concluída
5135;02/10/2010;04/10/2010;GO;Centro-Oeste;Amauri Castro;Ana Cristina Lopes;Eletrodomésticos;Boleto Bancário;1514.43;Concluída
5136;03/10/2010;08/10/2010;MT;Centro-Oeste;Amauri Castro;Isabel Dias;Eletrodomésticos;Cartão de Débito;2755.15;Concluída
5137;03/10/2010;07/10/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Móveis e Decoração;Cartão de Crédito;2861.89;Concluída
5138;03/10/2010;12/10/2010;SC;Sul;Roberta Camargo;João Lima;Eletrodomésticos;Cartão de Crédito;1512.11;Concluída
5139;03/10/2010;15/10/2010;SE;Nordeste;Raimundo Moraes;Eduardo Rocha;Eletrodomésticos;Cartão de Débito;3399.44;Concluída
5140;03/10/2010;06/10/2010;GO;Centro-Oeste;Amauri Castro;Ana Cristina Lopes;Esporte e Lazer;Transferência Eletrônica;2000.50;Concluída
5141;03/10/2010;07/10/2010;TO;Norte;Elenice Mendes;Armando Cabral;Eletrônicos;Cartão de Crédito;2473.26;Concluída
5143;03/10/2010;15/10/2010;RS;Sul;Roberta Camargo;Lúcia Bueno;Esporte e Lazer;Cartão de Crédito;624.09;Concluída
5144;04/10/2010;10/10/2010;MG;Sudeste;Luiz Miranda;Rosângela Almeida;Eletrônicos;Transferência Eletrônica;1921.65;Concluída
5147;04/10/2010;09/10/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Esporte e Lazer;Transferência Eletrônica;1163.15;Cancelada
5148;04/10/2010;14/10/2010;MA;Nordeste;Raimundo Moraes;Luciano Camargo;Eletrodomésticos;Cartão de Débito;470.48;Concluída
5149;04/10/2010;12/10/2010;SC;Sul;Roberta Camargo;João Lima;Esporte e Lazer;Cartão de Débito;2176.07;Concluída
5150;04/10/2010;07/10/2010;RS;Sul;Roberta Camargo;Lúcia Bueno;Esporte e Lazer;Boleto Bancário;1782.25;Concluída
5153;04/10/2010;10/10/2010;MG;Sudeste;Luiz Miranda;Rosângela Almeida;Casa e Construção;Boleto Bancário;3872.05;Concluída
5154;04/10/2010;12/10/2010;AC;Norte;Elenice Mendes;Célio Carvalho;Esporte e Lazer;Cartão de Crédito;2637.33;Concluída
5155;05/10/2010;12/10/2010;BA;Nordeste;Raimundo Moraes;Newton Souza;Esporte e Lazer;Transferência Eletrônica;1413.99;Concluída
5158;05/10/2010;07/10/2010;MS;Centro-Oeste;Amauri Castro;Marco Aurélio Castro;Casa e Construção;Cartão de Débito;4711.67;Concluída
5159;05/10/2010;20/10/2010;AL;Nordeste;Raimundo Moraes;Marcos Reis;Eletrônicos;Cartão de Crédito;9896.06;Concluída
5162;07/10/2010;17/10/2010;RN;Nordeste;Raimundo Moraes;Ricardo Martins;Eletrônicos;Cartão de Crédito;4321.78;Concluída
5163;07/10/2010;17/10/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Eletrodomésticos;Cartão de Crédito;3088.89;Concluída
5164;08/10/2010;14/10/2010;RS;Sul;Roberta Camargo;Lúcia Bueno;Roupas e Acessórios;Transferência Eletrônica;53.49;Concluída
5165;08/10/2010;20/10/2010;PA;Norte;Elenice Mendes;Luíza Campos;Casa e Construção;Cartão de Débito;7539.51;Concluída
5166;08/10/2010;11/10/2010;DF;Centro-Oeste;Amauri Castro;Maria José Dias;Eletrodomésticos;Cartão de Débito;964.03;Concluída
5167;08/10/2010;15/10/2010;RN;Nordeste;Raimundo Moraes;Ricardo Martins;Eletrônicos;Cartão de Crédito;6506.50;Concluída
5168;10/10/2010;19/10/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Móveis e Decoração;Transferência Eletrônica;2345.91;Cancelada
5169;10/10/2010;13/10/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Casa e Construção;Cartão de Crédito;208.53;Concluída
5170;10/10/2010;17/10/2010;PR;Sul;Roberta Camargo;Érica Macedo;Eletrodomésticos;Cartão de Crédito;1623.11;Concluída
5171;10/10/2010;17/10/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Móveis e Decoração;Cartão de Crédito;1858.38;Concluída
5172;11/10/2010;18/10/2010;SC;Sul;Roberta Camargo;João Lima;Eletrodomésticos;Cartão de Débito;3051.83;Concluída
5173;12/10/2010;21/10/2010;AM;Norte;Elenice Mendes;Daniel Leite;Utilidades Domésticas;Cartão de Débito;224.71;Concluída
5174;12/10/2010;20/10/2010;PE;Nordeste;Raimundo Moraes;Augusto Melo;Utilidades Domésticas;Cartão de Crédito;1374.87;Concluída
5175;12/10/2010;25/10/2010;SC;Sul;Roberta Camargo;João Lima;Roupas e Acessórios;Cartão de Crédito;100.22;Concluída
5178;12/10/2010;16/10/2010;RS;Sul;Roberta Camargo;Lúcia Bueno;Esporte e Lazer;Cartão de Crédito;2176.96;Concluída
5180;12/10/2010;21/10/2010;MA;Nordeste;Raimundo Moraes;Luciano Camargo;Utilidades Domésticas;Cartão de Crédito;960.03;Concluída
5182;13/10/2010;15/10/2010;RO;Norte;Elenice Mendes;Dorival da Silva;Eletrônicos;Cartão de Crédito;808.65;Concluída
5184;13/10/2010;16/10/2010;AL;Nordeste;Raimundo Moraes;Marcos Reis;Eletrônicos;Boleto Bancário;1350.86;Concluída
5185;13/10/2010;22/10/2010;MG;Sudeste;Luiz Miranda;Rosângela Almeida;Esporte e Lazer;Boleto Bancário;547.54;Concluída
5186;13/10/2010;20/10/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Eletrodomésticos;Cartão de Crédito;762.72;Concluída
5187;14/10/2010;17/10/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Eletrônicos;Cartão de Débito;1804.68;Concluída
5188;14/10/2010;17/10/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Casa e Construção;Cartão de Débito;2512.61;Cancelada
5189;14/10/2010;16/10/2010;PB;Nordeste;Raimundo Moraes;Haroldo Cardoso;Esporte e Lazer;Cartão de Crédito;985.28;Concluída
5190;15/10/2010;18/10/2010;AL;Nordeste;Raimundo Moraes;Marcos Reis;Utilidades Domésticas;Cartão de Crédito;1410.16;Concluída
5191;15/10/2010;18/10/2010;PI;Nordeste;Raimundo Moraes;Gerson Melo;Casa e Construção;Cartão de Crédito;7939.36;Concluída
5192;15/10/2010;24/10/2010;AL;Nordeste;Raimundo Moraes;Marcos Reis;Eletrodomésticos;Cartão de Crédito;695.79;Concluída
5193;16/10/2010;22/10/2010;PR;Sul;Roberta Camargo;Érica Macedo;Eletrônicos;Cartão de Débito;3786.45;Concluída
5194;16/10/2010;23/10/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Eletrodomésticos;Cartão de Crédito;3265.83;Concluída
5195;17/10/2010;25/10/2010;RS;Sul;Roberta Camargo;Lúcia Bueno;Móveis e Decoração;Cartão de Crédito;2263.22;Concluída
5197;18/10/2010;21/10/2010;GO;Centro-Oeste;Amauri Castro;Ana Cristina Lopes;Roupas e Acessórios;Cartão de Crédito;375.49;Cancelada
5198;18/10/2010;28/10/2010;PR;Sul;Roberta Camargo;Érica Macedo;Eletrônicos;Cartão de Crédito;4069.46;Cancelada
5200;19/10/2010;22/10/2010;RS;Sul;Roberta Camargo;Lúcia Bueno;Eletrônicos;Transferência Eletrônica;9777.76;Concluída
5203;19/10/2010;23/10/2010;PR;Sul;Roberta Camargo;Érica Macedo;Casa e Construção;Cartão de Débito;330.69;Concluída
5204;19/10/2010;23/10/2010;AP;Norte;Elenice Mendes;Maria Cristina Moraes;Casa e Construção;Transferência Eletrônica;6487.02;Concluída
5206;20/10/2010;24/10/2010;MA;Nordeste;Raimundo Moraes;Luciano Camargo;Móveis e Decoração;Cartão de Crédito;2154.86;Concluída
5207;20/10/2010;31/10/2010;CE;Nordeste;Raimundo Moraes;Alice da Silva;Eletrodomésticos;Cartão de Crédito;2324.52;Concluída
5208;21/10/2010;26/10/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Esporte e Lazer;Transferência Eletrônica;907.80;Cancelada
5209;21/10/2010;31/10/2010;BA;Nordeste;Raimundo Moraes;Newton Souza;Eletrônicos;Cartão de Crédito;1368.46;Concluída
5212;22/10/2010;26/10/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Eletrônicos;Boleto Bancário;3527.37;Cancelada
5213;22/10/2010;28/10/2010;SC;Sul;Roberta Camargo;João Lima;Casa e Construção;Boleto Bancário;7636.56;Concluída
5214;23/10/2010;03/11/2010;SC;Sul;Roberta Camargo;João Lima;Roupas e Acessórios;Cartão de Crédito;298.61;Concluída
5215;23/10/2010;30/10/2010;RS;Sul;Roberta Camargo;Lúcia Bueno;Eletrodomésticos;Transferência Eletrônica;442.47;Concluída
5216;24/10/2010;03/11/2010;BA;Nordeste;Raimundo Moraes;Newton Souza;Eletrodomésticos;Cartão de Crédito;3245.52;Concluída
5217;24/10/2010;26/10/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Roupas e Acessórios;Cartão de Débito;219.80;Concluída
5218;24/10/2010;01/11/2010;PA;Norte;Elenice Mendes;Luíza Campos;Eletrônicos;Transferência Eletrônica;6916.54;Concluída
5219;24/10/2010;30/10/2010;AL;Nordeste;Raimundo Moraes;Marcos Reis;Roupas e Acessórios;Cartão de Débito;343.30;Concluída
